Country Name,"Country Code","Series Name","Series Code","Time","Time Code","Value"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1960","YR1960","91.599"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1961","YR1961","91.316"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1962","YR1962","91.024"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1963","YR1963","90.724"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1964","YR1964","90.414"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1965","YR1965","90.096"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1966","YR1966","89.767"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1967","YR1967","89.43"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1968","YR1968","89.082"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1969","YR1969","88.725"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1970","YR1970","88.357"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1971","YR1971","87.979"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1972","YR1972","87.59"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1973","YR1973","87.191"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1974","YR1974","86.781"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1975","YR1975","86.359"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1976","YR1976","85.926"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1977","YR1977","85.483"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1978","YR1978","85.027"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1979","YR1979","84.558"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1980","YR1980","84.005"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1981","YR1981","83.438"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1982","YR1982","82.853"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1983","YR1983","82.253"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1984","YR1984","81.635"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1985","YR1985","81.003"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1986","YR1986","80.353"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1987","YR1987","79.686"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1988","YR1988","79.002"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1989","YR1989","78.912"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1990","YR1990","78.823"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1991","YR1991","78.734"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1992","YR1992","78.645"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1993","YR1993","78.556"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1994","YR1994","78.466"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1995","YR1995","78.376"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1996","YR1996","78.286"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1997","YR1997","78.195"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1998","YR1998","78.105"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","1999","YR1999","78.014"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","2000","YR2000","77.922"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","2001","YR2001","77.831"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","2002","YR2002","77.739"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","2003","YR2003","77.647"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","2004","YR2004","77.5"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","2005","YR2005","77.297"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","2006","YR2006","77.093"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","2007","YR2007","76.887"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","2008","YR2008","76.68"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","2009","YR2009","76.472"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","2010","YR2010","76.263"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","2011","YR2011","76.052"
Afghanistan,"AFG","Rural population (% of total population)","SP.RUR.TOTL.ZS","2012","YR2012","75.84"
